City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Toora-Khem,52.4675,96.11,-13.26,90,66,0.35,RU,1610971263
Simao,22.7886,100.9748,8.37,91,87,0.49,CN,1610971264
San Benito Abad,8.929,-75.0271,24.21,88,47,1.09,CO,1610971264
Bogandinskiy,56.8937,65.8938,-18.0,71,0,6.0,RU,1610971264
Torbay,47.6666,-52.7314,2.78,93,40,4.12,CA,1610971265
Partyzany,46.3314,34.7503,-7.54,85,45,2.7,UA,1610971265
Lahaina,20.8783,-156.6825,22.0,94,90,9.77,US,1610971265
Yinchuan,38.4681,106.2731,-1.16,63,0,3.03,CN,1610971265
Santo Antônio do Tauá,-1.1519,-48.1294,26.0,89,75,4.12,BR,1610971266
Kigoma,-4.8769,29.6267,28.0,65,40,3.09,TZ,1610971266
Kapuskasing,49.4169,-82.4331,-19.0,92,0,1.54,CA,1610971266
Kashgar,39.4547,75.9797,-2.0,54,75,1.16,CN,1610971245
Provideniya,64.3833,-173.3,-23.11,86,86,2.83,RU,1610971267
Provost,52.3501,-110.2683,-3.0,93,97,4.63,CA,1610971267
Udachny,66.4167,112.4,-43.27,76,66,1.68,RU,1610971073
Lamovita,44.9256,16.9072,0.0,80,20,3.6,BA,1610971268
Upernavik,72.7868,-56.1549,-7.54,95,94,2.79,GL,1610971269
Vila Praia de Âncora,41.811,-8.8526,13.89,93,0,4.12,PT,1610971269
Charters Towers,-20.1,146.2667,22.43,87,100,4.7,AU,1610971269
Codrington,-38.2667,141.9667,15.0,82,94,5.26,AU,1610971270
Lebu,-37.6167,-73.65,14.97,72,0,8.81,CL,1610971270
Mocuba,-16.8392,36.9856,35.0,48,100,0.96,MZ,1610971270
Deputatsky,69.3,139.9,-39.59,84,100,0.85,RU,1610971270
Manta,-0.95,-80.7333,25.0,83,75,1.54,EC,1610971270
Avarua,-21.2078,-159.775,25.0,88,75,1.03,CK,1610971271
Albany,42.6001,-73.9662,1.11,86,99,2.13,US,1610971034
Hojāi,26.0,92.8667,20.52,62,0,0.52,IN,1610971271
Dunedin,-45.8742,170.5036,12.22,82,51,0.45,NZ,1610971003
Saldanha,-33.0117,17.9442,29.0,42,6,3.6,ZA,1610971245
Gamba,-2.65,10.0,28.98,68,77,5.0,GA,1610971272
Hanover,52.3705,9.7332,5.56,87,75,6.69,DE,1610971159
Kalianget,-7.05,113.9333,26.62,81,100,8.18,ID,1610971272
Kenai,60.5544,-151.2583,3.0,70,90,4.63,US,1610971272
Chapecó,-27.0964,-52.6183,20.0,100,75,1.03,BR,1610971273
Broken Hill,-31.95,141.4333,25.0,23,0,5.66,AU,1610971271
Vila Velha,-20.3297,-40.2925,28.0,65,0,1.54,BR,1610971274
Kodār,16.9833,79.9667,26.62,55,28,2.72,IN,1610971274
Kaeo,-35.1,173.7833,15.0,79,0,2.57,NZ,1610971274
Aklavik,68.2191,-135.0107,-22.0,84,22,3.6,CA,1610971275
Kalmunai,7.4167,81.8167,25.84,83,89,6.52,LK,1610971275
Mildmay,44.0501,-81.1164,-4.44,93,95,1.46,CA,1610971275
Dawlatabad,36.4141,64.9053,16.73,35,65,2.95,AF,1610971275
Bétérou,9.1992,2.2586,37.44,8,60,1.65,BJ,1610971275
Wu’an,31.6836,112.0044,8.84,51,0,3.99,CN,1610971276
Son La,21.3167,103.9,11.14,68,32,0.68,VN,1610971016
North Platte,41.1239,-100.7654,2.78,80,1,2.57,US,1610971166
Porto Nacional,-10.7081,-48.4172,26.0,78,75,2.57,BR,1610971276
Kiryat Gat,31.61,34.7642,12.78,100,80,0.45,IL,1610971276
Miramar,25.9873,-80.2323,17.0,94,40,2.0,US,1610971277
Lebedinyy,58.5167,125.5167,-38.21,75,60,2.85,RU,1610971277
Bayburt,40.2589,40.2278,-4.46,94,100,0.78,TR,1610971277
Tevriz,57.509,72.4042,-21.17,90,77,3.41,RU,1610971277
Ferrol,43.4832,-8.2369,14.44,82,0,0.51,ES,1610971278
Colares,38.7992,-9.4469,13.33,50,0,1.03,PT,1610971278
Kerrobert,51.9168,-109.1348,-2.0,86,90,6.69,CA,1610971278
Abu Kamal,34.4506,40.9171,17.24,30,19,5.92,SY,1610971278
Puerto Ayora,-0.7393,-90.3518,23.33,96,74,2.28,EC,1610971278
Paamiut,61.994,-49.6678,-2.25,81,100,2.49,GL,1610971279
Mar del Plata,-38.0023,-57.5575,16.11,94,0,3.09,AR,1610971258
Assiut,27.181,31.1837,18.0,42,0,5.14,EG,1610971279
Jutaí,-5.1833,-68.9,24.03,95,100,0.95,BR,1610971279
Huarmey,-10.0681,-78.1522,21.09,80,100,2.55,PE,1610971279
Clyde River,70.4692,-68.5914,-14.0,85,90,6.17,CA,1610971280
Alofi,-19.0595,-169.9187,24.0,94,75,1.03,NU,1610971280
Daru,-9.0763,143.2092,27.53,83,96,1.75,PG,1610971280
La Unión,-5.4,-80.75,22.78,72,100,2.58,PE,1610971280
College,64.8569,-147.8028,-15.0,78,20,1.91,US,1610971280
Lajas,18.05,-67.0593,23.89,95,18,2.24,PR,1610971281
Shache,38.4167,77.2406,-1.35,74,100,3.05,CN,1610971281
Sibolga,1.7427,98.7792,26.13,78,70,0.57,ID,1610971281
Minsk,53.9,27.5667,-16.0,85,0,3.0,BY,1610971125
Verkhnyaya Inta,65.9811,60.3094,-28.61,87,100,5.3,RU,1610971282
Tiksi,71.6872,128.8694,-30.22,87,100,3.69,RU,1610970995
Anamur,36.0751,32.8369,12.0,43,75,3.6,TR,1610971282
Yaan,7.3833,8.5667,36.35,10,36,3.84,NG,1610971282
Lompoc,34.6391,-120.4579,13.89,66,0,4.12,US,1610971282
Laas,46.6166,10.7002,2.78,69,40,3.09,IT,1610971283
Ayagoz,47.9714,80.4392,-6.92,80,30,0.62,KZ,1610971283
Bodmin,50.4715,-4.7243,8.0,93,75,4.12,GB,1610971283
Port Hedland,-20.3167,118.5667,33.0,62,23,4.63,AU,1610971209
Rawson,-43.3002,-65.1023,22.44,41,0,8.51,AR,1610971284
Banjarmasin,-3.3244,114.591,27.0,89,20,2.57,ID,1610971075
São Félix do Xingu,-6.6447,-51.995,23.56,93,93,0.71,BR,1610971284
Broome,42.2506,-75.833,0.56,93,90,4.12,US,1610971284
East London,-33.0153,27.9116,24.0,57,75,5.66,ZA,1610971202
Atuona,-9.8,-139.0333,25.38,79,24,8.74,PF,1610971285
Ko Samui,9.5357,99.9357,27.0,65,40,4.63,TH,1610971286
Sarangani,5.4033,125.4636,27.29,75,100,1.89,PH,1610971286
George Town,5.4112,100.3354,29.44,61,20,1.54,MY,1610971096
Haines Junction,60.7522,-137.5108,-3.0,74,70,3.09,CA,1610971286
Ucluelet,48.9329,-125.5528,2.78,92,95,2.31,CA,1610971287
Ushuaia,-54.8,-68.3,9.0,71,40,7.2,AR,1610971210
Dembī Dolo,8.5333,34.8,30.32,17,87,1.67,ET,1610971287
Hanawa,40.1836,140.7872,-4.0,93,75,1.54,JP,1610971077
Grand-Lahou,5.1367,-5.0242,30.22,60,38,1.57,CI,1610971288
Natalio,-26.7167,-55.0833,21.15,60,98,2.06,PY,1610971288
Portland,45.5234,-122.6762,6.11,93,90,1.78,US,1610971187
Saint-Pierre,-21.3393,55.4781,31.0,66,0,5.14,RE,1610971289
Zhenlai,45.8495,123.2973,-21.87,74,0,1.56,CN,1610971289
Nabire,-3.3667,135.4833,25.8,81,98,1.14,ID,1610970776
Sørland,67.667,12.6934,-6.0,100,20,3.17,NO,1610971289
Saskylakh,71.9167,114.0833,-35.48,83,79,2.96,RU,1610971289
Lubao,14.9167,120.55,27.0,69,75,3.09,PH,1610971290
Seoul,37.5683,126.9778,-4.0,45,0,5.14,KR,1610971141
Vytegra,61.0064,36.4481,-8.54,97,97,2.24,RU,1610971291
Katsuura,35.1333,140.3,8.33,42,20,6.69,JP,1610971291
Touros,-5.1989,-35.4608,26.0,78,40,3.09,BR,1610971292
Tomatlán,19.9333,-105.25,16.73,67,1,1.31,MX,1610971292
Eirunepé,-6.6603,-69.8736,23.32,96,98,0.94,BR,1610971292
Butaritari,3.0707,172.7902,26.91,77,27,9.0,KI,1610971292
Honiara,-9.4333,159.95,25.97,80,57,2.6,SB,1610971293
Paraíso,9.8383,-83.8656,18.0,68,0,3.6,CR,1610971293
Qaanaaq,77.484,-69.3632,-17.35,75,61,2.18,GL,1610971293
Sakakah,29.9697,40.2064,16.0,33,0,5.14,SA,1610971293
Arrondissement de Riom,45.9167,2.9167,6.0,61,75,2.06,FR,1610971294
Kudahuvadhoo,2.6708,72.8944,27.76,74,51,5.18,MV,1610971204
Saint-François,46.4154,3.9054,6.11,87,90,1.54,FR,1610971294
Cap Malheureux,-19.9842,57.6142,28.33,74,50,5.36,MU,1610971294
Biak,-0.9131,122.8766,26.06,83,100,1.76,ID,1610971294
Onega,63.9061,38.1404,-8.12,97,100,2.49,RU,1610971295
Rexburg,43.826,-111.7897,-4.44,100,90,2.57,US,1610971295
Severo-Kuril'sk,50.6789,156.125,-6.68,91,95,16.97,RU,1610971295
Nivala,63.9167,24.9667,-3.89,92,100,2.68,FI,1610971295
Ancud,-41.8697,-73.8203,16.11,88,90,1.54,CL,1610971296
Pisco,-13.7,-76.2167,19.44,82,20,0.63,PE,1610971296
Suozhen,36.9539,118.1047,0.56,35,0,1.34,CN,1610971296
Nelson Bay,-32.7167,152.15,23.33,78,34,2.57,AU,1610971296
Cape Town,-33.9258,18.4232,29.0,39,0,5.66,ZA,1610971223
Lima Duarte,-21.8425,-43.7931,25.56,68,0,3.6,BR,1610971297
Mossendjo,-2.9506,12.7261,27.94,69,57,1.97,CG,1610971297
Vila Franca do Campo,37.7167,-25.4333,17.22,88,75,9.77,PT,1610971298
Bānda,25.4833,80.3333,18.65,46,16,3.35,IN,1610971065
Fortuna,40.5982,-124.1573,5.0,100,75,4.12,US,1610971123
Ola,59.5833,151.2833,-18.74,88,100,6.61,RU,1610971299
Lagoa,39.05,-27.9833,16.46,82,100,12.82,PT,1610971299
Florø,61.5996,5.0328,4.0,75,75,10.8,NO,1610971300
Longyearbyen,78.2186,15.6401,-8.0,73,20,11.32,SJ,1610971300
Ambon City,-3.6954,128.1814,27.42,80,84,2.91,ID,1610971301
Novaya Ladoga,60.1025,32.3019,-5.56,70,99,2.32,RU,1610971301
Zhaoyang,42.682,126.0305,-22.04,88,97,1.71,CN,1610971301
Blackwater,-23.5833,148.8833,25.27,69,82,5.89,AU,1610971301
Esso,55.9333,158.7,-8.78,92,100,1.73,RU,1610971302
Iracoubo,5.4802,-53.2011,26.63,77,67,6.07,GF,1610971302
Nizhnevartovsk,60.9344,76.5531,-26.0,70,20,4.0,RU,1610971302
Saint-Augustin,51.226,-58.6502,0.29,97,98,9.28,CA,1610971302
Vaini,-21.2,-175.2,25.0,94,40,3.35,TO,1610971302
Yangi Marg`ilon,40.4272,71.7189,10.0,40,91,1.15,UZ,1610971303
Norman Wells,65.282,-126.8329,-20.0,84,40,2.06,CA,1610971303
Palauig,15.435,119.9045,26.11,70,72,2.79,PH,1610971304
Naze,28.3667,129.4833,10.78,67,47,5.83,JP,1610971137
Bilibino,68.0546,166.4372,-34.41,78,43,0.76,RU,1610971305
Hong Kong,22.2855,114.1577,15.0,58,28,0.45,HK,1610971039
Somotillo,13.0433,-86.9064,21.97,74,90,1.66,NI,1610971305
Palmer,42.1584,-72.3287,1.11,80,1,4.12,US,1610971306
Mataura,-46.1927,168.8643,9.44,88,70,1.34,NZ,1610971306
Puerto Madryn,-42.7692,-65.0385,23.04,39,5,10.6,AR,1610971306
Inhambane,-23.865,35.3833,25.0,100,75,4.12,MZ,1610971306
Olean,42.0776,-78.4297,-1.0,100,90,2.51,US,1610971306
Nyagan,62.1406,65.3936,-27.64,87,93,2.7,RU,1610971307
Saurimo,-9.6608,20.3916,27.57,59,88,2.73,AO,1610971307
Moerai,-22.4333,-151.3333,26.95,73,87,2.94,PF,1610971307
Faanui,-16.4833,-151.75,27.0,78,4,7.54,PF,1610971307
Chinsali,-10.5414,32.0816,26.34,65,92,2.26,ZM,1610971308
Khatanga,71.9667,102.5,-33.19,80,0,6.85,RU,1610971308
Korla,41.7597,86.1469,-6.39,80,55,1.48,CN,1610971308
Kapaa,22.0752,-159.319,21.0,83,75,4.63,US,1610971308
Agustin Codazzi,10.0341,-73.2361,23.03,43,74,1.8,CO,1610971308
Olafsvik,64.8945,-23.7142,2.51,81,93,6.61,IS,1610971309
Câmara de Lobos,32.6333,-16.9667,17.0,59,40,1.03,PT,1610971309
Tukums,56.9669,23.1553,-10.0,92,90,5.14,LV,1610971309
Awjilah,29.1081,21.2869,17.96,36,0,6.68,LY,1610971309
Hasaki,35.7333,140.8333,1.0,100,20,0.51,JP,1610971309
Nkayi,-4.1841,13.2884,30.87,62,49,1.45,CG,1610971310
Bengkulu,-3.8004,102.2655,26.0,82,98,2.24,ID,1610971240
Simav,39.0882,28.9777,-2.0,64,40,2.06,TR,1610971310
Paita,-5.0892,-81.1144,22.01,77,99,3.14,PE,1610971310
Eydhafushi,5.1033,73.0708,27.22,79,39,7.31,MV,1610971203
Trelew,-43.249,-65.3051,23.6,34,0,9.16,AR,1610971311
Ust'-Omchug,61.15,149.6333,-30.41,82,100,5.33,RU,1610971311
Caravelas,-17.7125,-39.2481,28.48,60,6,1.81,BR,1610971311
Batemans Bay,-35.7167,150.1833,21.11,80,37,0.45,AU,1610971059
Maunabo,18.0072,-65.8993,25.0,86,68,3.13,PR,1610971312
Padang,-0.9492,100.3543,28.0,78,75,0.51,ID,1610971309
Cabo San Lucas,22.8909,-109.9124,17.83,60,0,2.37,MX,1610971313
Heihe,50.2441,127.4902,-27.0,63,0,2.0,CN,1610971027
Fuling,29.7022,107.3919,8.45,54,0,1.38,CN,1610971314
La Ronge,55.1001,-105.2842,-18.0,85,89,1.03,CA,1610971314
Hilo,19.7297,-155.09,20.0,88,90,2.06,US,1610971314
Jamestown,42.097,-79.2353,-0.56,98,90,4.63,US,1610971314
Moose Factory,51.2585,-80.6094,-17.0,84,75,2.06,CA,1610971315
Água Branca,-5.8922,-42.6361,24.12,90,100,1.04,BR,1610971315
Eyl,7.9803,49.8164,28.87,44,4,10.87,SO,1610971315
Bhīnmāl,25.0,72.25,26.25,20,0,3.74,IN,1610971315
Sabang,5.8933,95.3214,27.74,74,65,10.84,ID,1610971315
Vagay,57.9375,69.0217,-22.16,90,62,3.2,RU,1610971316
Cherskiy,68.75,161.3,-38.92,81,91,1.05,RU,1610971316
Natitingou,10.3042,1.3796,31.0,9,0,5.66,BJ,1610971036
Evensk,61.95,159.2333,-18.08,79,100,7.68,RU,1610971316
Mīāndoāb,36.9694,46.1027,10.0,46,40,8.23,IR,1610971317
Matara,5.9485,80.5353,26.73,85,61,2.14,LK,1610971203
Phan Thiet,10.9333,108.1,22.47,69,85,5.87,VN,1610971317
Carutapera,-1.195,-46.02,26.56,85,98,3.17,BR,1610971317
Sumenep,-7.0167,113.8667,26.2,82,100,7.84,ID,1610971317
Nome,64.5011,-165.4064,-12.0,72,95,4.12,US,1610971318
Kumano,34.3442,132.5894,6.0,93,75,3.6,JP,1610971318
Kaputa,-8.4689,29.6619,25.74,69,79,1.81,ZM,1610971318
Hualmay,-11.0964,-77.6139,21.15,81,100,3.34,PE,1610971318
Tibati,6.4667,12.6333,35.47,13,7,2.44,CM,1610971318
Santa Cruz de Barahona,18.2085,-71.1008,22.73,71,96,2.37,DO,1610971319
Bambous Virieux,-20.3428,57.7575,29.0,70,75,7.72,MU,1610971319
Kodinsk,58.6881,99.1844,-16.68,92,98,2.61,RU,1610971319
Santa Fe,-31.6333,-60.7,22.31,31,0,1.51,AR,1610971319
Asău,46.4333,26.4,-7.22,61,97,0.49,RO,1610971320
Mayo,38.8876,-76.5119,1.11,80,1,4.38,US,1610971320
Noumea,-22.2763,166.4572,27.22,94,0,2.84,NC,1610970906
Mahébourg,-20.4081,57.7,29.0,70,75,7.72,MU,1610971320
Cururupu,-1.8283,-44.8683,26.31,86,99,2.32,BR,1610971321
Kumul,42.8,93.45,-7.92,75,0,1.84,CN,1610971321
Manado,1.487,124.8455,27.0,83,20,1.54,ID,1610971225
Lerwick,60.1545,-1.1494,6.0,81,40,12.86,GB,1610971321
Balabac,7.9868,117.0645,26.94,79,100,6.69,PH,1610971321
Kyabram,-36.3167,145.05,18.89,57,2,1.34,AU,1610971322
Port Alfred,-33.5906,26.891,23.33,75,61,3.13,ZA,1610971322
Ponta Delgada,37.7333,-25.6667,17.22,88,75,9.77,PT,1610971323
Juneau,58.3019,-134.4197,5.0,81,90,4.63,US,1610971323
Springfield,37.2153,-93.2982,-1.11,86,1,3.09,US,1610971323
Nurota,40.5614,65.6886,16.0,31,96,5.14,UZ,1610971323
Khartoum,15.5518,32.5324,32.0,12,0,7.72,SD,1610971271
Kruisfontein,-34.0033,24.7314,24.69,54,16,9.82,ZA,1610971324
Puteyets,65.1716,57.091,-31.7,86,57,1.45,RU,1610971324
Stann Creek Town,16.9692,-88.2321,18.0,94,75,2.06,BZ,1610971324
Emirdağ,39.0197,31.15,-4.0,63,40,5.14,TR,1610971324
Port-Gentil,-0.7193,8.7815,31.0,70,40,6.69,GA,1610971037
Talnakh,69.4865,88.3972,-20.97,90,100,0.55,RU,1610971325
Acapulco de Juárez,16.8634,-99.8901,23.23,72,0,1.73,MX,1610971325
Pilar,-9.5972,-35.9567,29.0,61,40,4.12,BR,1610971325
Port Hardy,50.6996,-127.4199,7.0,100,40,2.57,CA,1610971318
Faya,18.3851,42.4509,23.0,21,20,3.6,SA,1610971326
Bluff,-46.6,168.3333,9.44,88,64,1.34,NZ,1610971326
Garoowe,8.4054,48.4845,33.58,19,51,4.7,SO,1610971326
Jumla,29.2747,82.1838,6.06,63,18,2.06,NP,1610971326
Yellowknife,62.456,-114.3525,-16.0,85,90,2.28,CA,1610971327
Xichang,27.8964,102.2634,5.83,64,0,1.99,CN,1610971317
Half Moon Bay,37.4636,-122.4286,13.33,100,40,3.66,US,1610971327
Atasū,48.6814,71.6433,-7.43,86,100,1.36,KZ,1610971327
Whitehorse,60.7161,-135.0538,0.0,64,75,9.77,CA,1610971327
Rafaela,-31.2503,-61.4867,22.78,36,0,2.24,AR,1610971328
Gushikawa,26.3544,127.8686,13.0,62,1,4.63,JP,1610971328
Boda,4.3189,17.4695,37.66,10,92,3.75,CF,1610971328
The Valley,18.217,-63.0578,26.0,73,75,4.63,AI,1610971317
Berdigestyakh,62.0989,126.6992,-45.87,76,81,1.37,RU,1610971329
Shimoda,34.6667,138.95,1.67,58,5,0.89,JP,1610971253
Bagdarin,54.4333,113.6,-30.73,80,99,0.23,RU,1610971329
Quelimane,-17.8786,36.8883,32.0,70,40,2.06,MZ,1610971329
Nanortalik,60.1432,-45.2371,-2.73,84,100,2.66,GL,1610971329
Srednekolymsk,67.45,153.6833,-41.25,81,45,1.23,RU,1610971330
Dingle,10.9995,122.6711,23.48,94,100,4.09,PH,1610971330
Ugoofaaru,5.6667,73.0,27.88,73,37,8.55,MV,1610971205
San Francisco,37.7749,-122.4194,14.44,82,40,1.5,US,1610971330
Tunceli,39.1083,39.5471,5.0,60,75,2.06,TR,1610971331
Castro,-24.7911,-50.0119,18.88,97,100,2.05,BR,1610971331
Kindersley,51.4668,-109.1682,-2.0,86,90,6.69,CA,1610971331
Mirzāpur,25.15,82.5833,17.0,72,0,1.03,IN,1610971222
Kewanee,41.2456,-89.9248,-3.0,86,90,1.54,US,1610971331
São José da Coroa Grande,-8.8978,-35.1478,27.67,68,24,4.3,BR,1610971332
Zeya,53.75,127.2667,-32.05,77,0,1.37,RU,1610971332
Sola,-13.8833,167.55,28.44,78,85,6.28,VU,1610971332
Hofn,64.2539,-15.2082,5.0,60,75,7.72,IS,1610971332
Balakhta,55.38,91.6,-8.56,94,100,3.53,RU,1610971333
Rock Springs,41.5875,-109.2029,-5.0,74,40,4.12,US,1610971333
Djibo,14.1022,-1.6306,32.69,10,4,6.34,BF,1610971333
Saint Paul Harbor,57.79,-152.4072,6.0,87,90,14.4,US,1610971333
Bahía Blanca,-38.7196,-62.2724,24.5,27,2,6.9,AR,1610971333
Ryōtsu-minato,38.0833,138.4333,2.0,100,75,3.6,JP,1610971053
Barra do Garças,-15.89,-52.2567,24.43,82,95,0.75,BR,1610971334
Oga,46.4631,10.347,6.67,54,75,1.54,IT,1610971334
Rikitea,-23.1203,-134.9692,25.63,75,14,5.69,PF,1610971334
Thompson,55.7435,-97.8558,-24.0,84,90,1.54,CA,1610971334
Poltavka,54.3663,71.7632,-21.15,91,17,3.95,RU,1610971335
Tripoli,32.8752,13.1875,15.64,61,2,9.67,LY,1610971320
Pamanukan,-6.2842,107.8106,25.43,88,96,4.97,ID,1610971335
Tonekābon,36.8163,50.8738,16.0,67,20,2.06,IR,1610971335
Changtu,42.7788,124.0955,-19.08,86,48,1.99,CN,1610971322
Sunrise Manor,36.2111,-115.0731,13.0,35,1,2.57,US,1610971336
